,State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
0,24,468,3722,0,0,0,SUB-DISTRICT,Lakhpat,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,468,3723,0,0,0,SUB-DISTRICT,Rapar,Urban,5739,28407,14388,14019,4627,2419,2208,4291,2212,2079,265,136,129,16158,9217,6941,12249,5171,7078,9087,7605,1482,8261,7212,1049,887,714,173,1298,917,381,102,80,22,5974,5501,473,826,393,433,17,0,17,324,94,230,17,4,13,468,295,173,717,332,385,15,0,15,268,73,195,14,4,10,420,255,165,109,61,48,2,0,2,56,21,35,3,0,3,48,40,8,19320,6783,12537
2,24,468,3724,0,0,0,SUB-DISTRICT,Bhachau,Urban,8647,39532,21661,17871,6236,3270,2966,3779,1953,1826,521,265,256,23954,14933,9021,15578,6728,8850,13713,11783,1930,12652,11488,1164,488,450,38,516,413,103,165,145,20,11483,10480,1003,1061,295,766,60,5,55,267,33,234,51,10,41,683,247,436,993,270,723,58,3,55,261,33,228,49,9,40,625,225,400,68,25,43,2,2,0,6,0,6,2,1,1,58,22,36,25819,9878,15941
3,24,468,3725,0,0,0,SUB-DISTRICT,Anjar,Urban,18906,87183,45172,42011,11723,6089,5634,5619,2908,2711,465,227,238,60737,33875,26862,26446,11297,15149,28743,25255,3488,27464,24667,2797,507,468,39,885,611,274,472,279,193,25600,23309,2291,1279,588,691,13,12,1,226,53,173,101,13,88,939,510,429,1123,535,588,12,11,1,222,53,169,71,10,61,818,461,357,156,53,103,1,1,0,4,0,4,30,3,27,121,49,72,58440,19917,38523
4,24,468,3726,0,0,0,SUB-DISTRICT,Bhuj,Urban,48078,213514,111146,102368,25476,13310,12166,14405,7426,6979,3096,1604,1492,160632,88260,72372,52882,22886,29996,79369,64622,14747,70864,60252,10612,2516,1728,788,2341,1372,969,1171,635,536,64836,56517,8319,8505,4370,4135,281,126,155,848,217,631,465,73,392,6911,3954,2957,7288,3517,3771,244,108,136,748,188,560,404,60,344,5892,3161,2731,1217,853,364,37,18,19,100,29,71,61,13,48,1019,793,226,134145,46524,87621
5,24,468,3727,0,0,0,SUB-DISTRICT,Nakhatrana,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,24,468,3728,0,0,0,SUB-DISTRICT,Abdasa,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24,468,3729,0,0,0,SUB-DISTRICT,Mandvi,Urban,10346,51376,26075,25301,6181,3197,2984,4766,2464,2302,65,31,34,36328,20157,16171,15048,5918,9130,16608,14247,2361,15113,13467,1646,220,189,31,291,232,59,214,128,86,14388,12918,1470,1495,780,715,93,15,78,51,22,29,206,21,185,1145,722,423,968,583,385,51,11,40,42,18,24,67,18,49,808,536,272,527,197,330,42,4,38,9,4,5,139,3,136,337,186,151,34768,11828,22940
8,24,468,3730,0,0,0,SUB-DISTRICT,Mundra,Urban,4738,20338,10885,9453,2847,1502,1345,2488,1339,1149,112,67,45,14479,8394,6085,5859,2491,3368,7343,6581,762,7016,6477,539,66,65,1,102,88,14,56,23,33,6792,6301,491,327,104,223,2,1,1,22,5,17,38,3,35,265,95,170,290,95,195,2,1,1,18,5,13,36,3,33,234,86,148,37,9,28,0,0,0,4,0,4,2,0,2,31,9,22,12995,4304,8691
9,24,468,3731,0,0,0,SUB-DISTRICT,Gandhidham,Urban,63217,288185,153886,134299,38779,20419,18360,53207,27675,25532,5417,2866,2551,199109,115218,83891,89076,38668,50408,104497,89631,14866,97394,85108,12286,263,216,47,502,386,116,1267,997,270,95362,83509,11853,7103,4523,2580,125,58,67,80,43,37,205,51,154,6693,4371,2322,6343,4001,2342,123,57,66,70,40,30,172,47,125,5978,3857,2121,760,522,238,2,1,1,10,3,7,33,4,29,715,514,201,183688,64255,119433
10,24,469,3732,0,0,0,SUB-DISTRICT,Vav,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,24,469,3733,0,0,0,SUB-DISTRICT,Tharad,Urban,5154,27954,14548,13406,4380,2347,2033,6609,3466,3143,1036,552,484,16180,9876,6304,11774,4672,7102,8322,7261,1061,7584,6913,671,406,381,25,731,630,101,110,68,42,6337,5834,503,738,348,390,47,9,38,177,78,99,25,1,24,489,260,229,616,283,333,43,8,35,160,68,92,21,1,20,392,206,186,122,65,57,4,1,3,17,10,7,4,0,4,97,54,43,19632,7287,12345
12,24,469,3734,0,0,0,SUB-DISTRICT,Dhanera,Urban,5503,29578,15379,14199,4479,2368,2111,4346,2246,2100,1042,529,513,19009,11382,7627,10569,3997,6572,9528,7959,1569,8926,7671,1255,801,750,51,476,347,129,134,79,55,7515,6495,1020,602,288,314,20,3,17,101,18,83,15,1,14,466,266,200,547,268,279,16,3,13,91,14,77,14,1,13,426,250,176,55,20,35,4,0,4,10,4,6,1,0,1,40,16,24,20050,7420,12630
13,24,469,3735,0,0,0,SUB-DISTRICT,Dantiwada,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,24,469,3736,0,0,0,SUB-DISTRICT,Amirgadh,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,24,469,3737,0,0,0,SUB-DISTRICT,Danta,Urban,3612,17753,9132,8621,2507,1387,1120,1141,585,556,1879,843,1036,11951,6642,5309,5802,2490,3312,5731,4672,1059,4939,4465,474,96,89,7,55,48,7,96,84,12,4692,4244,448,792,207,585,7,3,4,56,7,49,38,11,27,691,186,505,770,196,574,7,3,4,56,7,49,38,11,27,669,175,494,22,11,11,0,0,0,0,0,0,0,0,0,22,11,11,12022,4460,7562
16,24,469,3738,0,0,0,SUB-DISTRICT,Vadgam,Urban,1679,8379,4336,4043,1114,583,531,979,520,459,424,221,203,5869,3379,2490,2510,957,1553,2529,2163,366,2245,1960,285,176,166,10,304,246,58,75,54,21,1690,1494,196,284,203,81,4,3,1,7,4,3,16,8,8,257,188,69,169,132,37,4,3,1,5,3,2,11,5,6,149,121,28,115,71,44,0,0,0,2,1,1,5,3,2,108,67,41,5850,2173,3677
17,24,469,3739,0,0,0,SUB-DISTRICT,Palanpur,Urban,32777,160231,83412,76819,18981,10205,8776,15597,8268,7329,4464,2324,2140,121025,67895,53130,39206,15517,23689,48463,42437,6026,45567,40550,5017,1130,1031,99,557,439,118,570,387,183,43310,38693,4617,2896,1887,1009,64,31,33,111,34,77,90,22,68,2631,1800,831,2617,1712,905,59,28,31,95,27,68,76,15,61,2387,1642,745,279,175,104,5,3,2,16,7,9,14,7,7,244,158,86,111768,40975,70793
18,24,469,3740,0,0,0,SUB-DISTRICT,Deesa,Urban,22626,116154,61298,54856,15401,8421,6980,6613,3373,3240,3961,2053,1908,80838,46949,33889,35316,14349,20967,37142,32370,4772,33706,30580,3126,632,593,39,888,739,149,459,356,103,31727,28892,2835,3436,1790,1646,29,20,9,299,94,205,120,42,78,2988,1634,1354,3137,1621,1516,28,19,9,273,87,186,102,34,68,2734,1481,1253,299,169,130,1,1,0,26,7,19,18,8,10,254,153,101,79012,28928,50084
19,24,469,3741,0,0,0,SUB-DISTRICT,Deodar,Urban,2923,14912,7762,7150,2152,1133,1019,1020,534,486,179,95,84,9624,5657,3967,5288,2105,3183,4616,3941,675,4354,3819,535,295,254,41,387,311,76,79,64,15,3593,3190,403,262,122,140,28,17,11,26,11,15,22,6,16,186,88,98,200,98,102,25,16,9,16,7,9,16,5,11,143,70,73,62,24,38,3,1,2,10,4,6,6,1,5,43,18,25,10296,3821,6475
20,24,469,3742,0,0,0,SUB-DISTRICT,Bhabhar,Urban,4295,21894,11275,10619,3444,1813,1631,1439,760,679,82,46,36,13503,8082,5421,8391,3193,5198,6882,5936,946,6407,5683,724,928,866,62,835,650,185,70,46,24,4574,4121,453,475,253,222,41,40,1,151,77,74,20,5,15,263,131,132,408,215,193,33,32,1,136,69,67,16,4,12,223,110,113,67,38,29,8,8,0,15,8,7,4,1,3,40,21,19,15012,5339,9673
21,24,469,3743,0,0,0,SUB-DISTRICT,Kankrej,Urban,3404,18060,9496,8564,2446,1316,1130,1779,925,854,33,20,13,11360,6901,4459,6700,2595,4105,5851,4955,896,5214,4714,500,879,816,63,688,578,110,20,13,7,3627,3307,320,637,241,396,32,2,30,390,118,272,6,2,4,209,119,90,572,205,367,32,2,30,381,113,268,4,0,4,155,90,65,65,36,29,0,0,0,9,5,4,2,2,0,54,29,25,12209,4541,7668
22,24,470,3744,0,0,0,SUB-DISTRICT,Santalpur,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,470,3745,0,0,0,SUB-DISTRICT,Radhanpur,Urban,7962,39558,20408,19150,5361,2877,2484,3504,1818,1686,1014,495,519,25722,14833,10889,13836,5575,8261,11854,10267,1587,10683,9866,817,522,498,24,1107,1016,91,103,75,28,8951,8277,674,1171,401,770,10,8,2,538,58,480,43,10,33,580,325,255,1054,357,697,10,8,2,495,54,441,36,8,28,513,287,226,117,44,73,0,0,0,43,4,39,7,2,5,67,38,29,27704,10141,17563
24,24,470,3746,0,0,0,SUB-DISTRICT,Sidhpur,Urban,14750,71601,36973,34628,8478,4532,3946,7089,3664,3425,1453,769,684,52963,29438,23525,18638,7535,11103,23415,20050,3365,21635,19049,2586,925,827,98,1216,883,333,388,213,175,19106,17126,1980,1780,1001,779,36,9,27,233,45,188,81,19,62,1430,928,502,1402,771,631,33,7,26,218,39,179,66,16,50,1085,709,376,378,230,148,3,2,1,15,6,9,15,3,12,345,219,126,48186,16923,31263
25,24,470,3747,0,0,0,SUB-DISTRICT,Patan,Urban,28096,133737,69898,63839,13719,7397,6322,12842,6745,6097,3988,2028,1960,103561,57548,46013,30176,12350,17826,44907,37706,7201,39760,34153,5607,1150,1079,71,1073,699,374,1066,594,472,36471,31781,4690,5147,3553,1594,72,50,22,506,228,278,277,106,171,4292,3169,1123,4243,2938,1305,70,49,21,316,140,176,210,86,124,3647,2663,984,904,615,289,2,1,1,190,88,102,67,20,47,645,506,139,88830,32192,56638
26,24,470,3748,0,0,0,SUB-DISTRICT,Harij,Urban,4238,20253,10449,9804,2632,1365,1267,1318,699,619,541,283,258,12908,7502,5406,7345,2947,4398,7258,5833,1425,6299,5418,881,385,345,40,1372,1000,372,60,40,20,4482,4033,449,959,415,544,21,11,10,397,79,318,16,6,10,525,319,206,910,387,523,21,11,10,390,77,313,15,6,9,484,293,191,49,28,21,0,0,0,7,2,5,1,0,1,41,26,15,12995,4616,8379
27,24,470,3749,0,0,0,SUB-DISTRICT,Sami,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24,470,3750,0,0,0,SUB-DISTRICT,Chanasma,Urban,3505,15932,8345,7587,1578,886,692,1732,894,838,125,71,54,12142,6740,5402,3790,1605,2185,5287,4511,776,4951,4343,608,509,494,15,1298,1052,246,17,14,3,3127,2783,344,336,168,168,6,4,2,55,8,47,4,1,3,271,155,116,294,152,142,5,3,2,50,8,42,3,1,2,236,140,96,42,16,26,1,1,0,5,0,5,1,0,1,35,15,20,10645,3834,6811
29,24,471,3751,0,0,0,SUB-DISTRICT,Satlasana,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,24,471,3752,0,0,0,SUB-DISTRICT,Kheralu,Urban,4527,21843,11312,10531,2492,1367,1125,1582,827,755,167,85,82,15991,8998,6993,5852,2314,3538,7853,6126,1727,6613,5387,1226,1136,1011,125,810,638,172,116,91,25,4551,3647,904,1240,739,501,74,29,45,104,64,40,22,13,9,1040,633,407,1116,645,471,69,26,43,98,61,37,21,13,8,928,545,383,124,94,30,5,3,2,6,3,3,1,0,1,112,88,24,13990,5186,8804
31,24,471,3753,0,0,0,SUB-DISTRICT,Unjha,Urban,12174,57108,29767,27341,5637,3237,2400,4283,2205,2078,525,276,249,46709,25118,21591,10399,4649,5750,19129,16832,2297,17817,15996,1821,820,565,255,735,577,158,177,145,32,16085,14709,1376,1312,836,476,55,23,32,113,56,57,37,10,27,1107,747,360,1148,733,415,51,20,31,79,35,44,34,9,25,984,669,315,164,103,61,4,3,1,34,21,13,3,1,2,123,78,45,37979,12935,25044
32,24,471,3754,0,0,0,SUB-DISTRICT,Visnagar,Urban,16271,76753,40181,36572,7084,3949,3135,4900,2552,2348,1238,636,602,62673,34257,28416,14080,5924,8156,26014,21644,4370,22107,19172,2935,586,506,80,1034,735,299,285,206,79,20202,17725,2477,3907,2472,1435,59,34,25,238,95,143,174,44,130,3436,2299,1137,3602,2337,1265,58,34,24,210,83,127,124,36,88,3210,2184,1026,305,135,170,1,0,1,28,12,16,50,8,42,226,115,111,50739,18537,32202
33,24,471,3755,0,0,0,SUB-DISTRICT,Vadnagar,Urban,5584,27790,14097,13693,3408,1759,1649,2178,1144,1034,33,20,13,19636,11155,8481,8154,2942,5212,9665,7490,2175,8137,6719,1418,1188,1102,86,1600,1056,544,163,119,44,5186,4442,744,1528,771,757,72,51,21,471,122,349,46,14,32,939,584,355,1190,561,629,69,51,18,436,106,330,30,14,16,655,390,265,338,210,128,3,0,3,35,16,19,16,0,16,284,194,90,18125,6607,11518
